Year,Month,Consumption,State
2004,6,54944.73,Arkansas
2004,7,56489.97,Arkansas
2004,8,37279.9,Arkansas
2004,9,66760.97,Arkansas
2004,10,77198.65,Arkansas
2004,11,30590.15,Arkansas
2004,12,96858.89,Arkansas
2005,1,29301.05,Arkansas
2005,2,17310.99,Arkansas
2005,3,21669.35,Arkansas
2005,4,24587.67,Arkansas
2005,5,37529.42,Arkansas
2005,6,30052.0,Arkansas
2005,7,38432.18,Arkansas
2005,8,37526.4,Arkansas
2005,9,36162.28,Arkansas
2005,10,24526.92,Arkansas
2005,11,20064.73,Arkansas
2005,12,31114.1,Arkansas
2006,1,21154.87,Arkansas
2006,2,15097.59,Arkansas
2006,3,15923.68,Arkansas
2006,4,22387.82,Arkansas
2006,5,27663.51,Arkansas
2006,6,27524.9,Arkansas
2006,7,27721.22,Arkansas
2006,8,43965.53,Arkansas
2006,9,21953.44,Arkansas
2006,10,20786.59,Arkansas
2006,11,27255.11,Arkansas
2006,12,21586.32,Arkansas
2007,1,26165.0,Arkansas
2007,2,35852.0,Arkansas
2007,3,8693.0,Arkansas
2007,4,5220.0,Arkansas
2007,5,8377.0,Arkansas
2007,6,25742.0,Arkansas
2007,7,11317.0,Arkansas
2007,8,7539.0,Arkansas
2007,9,1557.0,Arkansas
2007,10,1525.0,Arkansas
2007,11,11128.0,Arkansas
2007,12,6701.0,Arkansas
2001,1,268016.0,Arizona
2001,2,131222.0,Arizona
2001,3,107962.0,Arizona
2001,4,41125.0,Arizona
2001,5,51063.0,Arizona
2001,6,17909.0,Arizona
2001,7,10931.0,Arizona
2001,8,10977.0,Arizona
2001,9,5991.0,Arizona
2001,10,4377.0,Arizona
2001,11,6329.0,Arizona
2001,12,9389.0,Arizona
2002,1,11164.0,Arizona
2002,2,9785.0,Arizona
2002,3,10871.0,Arizona
2002,4,11545.0,Arizona
2002,5,8974.0,Arizona
2002,6,9137.0,Arizona
2002,7,6193.0,Arizona
2002,8,12619.0,Arizona
2002,9,6560.0,Arizona
2002,10,12955.0,Arizona
2002,11,3784.0,Arizona
2002,12,5771.0,Arizona
2003,1,3484.0,Arizona
2003,2,6607.0,Arizona
2003,3,12390.0,Arizona
2003,4,6093.0,Arizona
2003,5,14497.0,Arizona
2003,6,7145.0,Arizona
2003,7,6200.0,Arizona
2003,8,10455.0,Arizona
2003,9,7456.0,Arizona
2003,10,8702.0,Arizona
2003,11,5852.0,Arizona
2003,12,9455.0,Arizona
2004,1,12861.21,Arizona
2004,2,3043.72,Arizona
2004,3,9814.96,Arizona
2004,4,2940.73,Arizona
2004,5,5753.16,Arizona
2004,6,4902.11,Arizona
2004,7,8305.8,Arizona
2004,8,8596.74,Arizona
2004,9,5602.03,Arizona
2004,10,5703.79,Arizona
2004,11,14422.77,Arizona
2004,12,9946.09,Arizona
2005,1,7412.54,Arizona
2005,2,11316.82,Arizona
2005,3,14351.39,Arizona
2005,4,8645.84,Arizona
2005,5,6500.07,Arizona
2005,6,6302.48,Arizona
2005,7,2835.68,Arizona
2005,8,3774.83,Arizona
2005,9,5654.38,Arizona
2005,10,4134.67,Arizona
2005,11,5193.01,Arizona
2005,12,5140.06,Arizona
2006,1,2311.06,Arizona
2006,2,6454.66,Arizona
2006,3,8459.16,Arizona
2006,4,20106.65,Arizona
2006,5,3902.94,Arizona
2006,6,38440.26,Arizona
2006,7,14305.89,Arizona
2006,8,9992.54,Arizona
2006,9,6573.51,Arizona
2006,10,8690.82,Arizona
2006,11,6871.84,Arizona
2006,12,8159.98,Arizona
2007,1,11650.0,Arizona
2007,2,10739.0,Arizona
2007,3,4556.0,Arizona
2007,4,7063.0,Arizona
2007,5,7417.0,Arizona
2007,6,2592.0,Arizona
2007,7,4534.0,Arizona
2007,8,7534.0,Arizona
2007,9,8995.0,Arizona
2007,10,7913.0,Arizona
2007,11,5822.0,Arizona
2007,12,10495.0,Arizona
2001,1,960824.0,California
2001,2,746165.0,California
2001,3,598567.0,California
2001,4,515397.0,California
2001,5,546829.0,California
2001,6,434632.0,California
2001,7,452381.0,California
2001,8,362710.0,California
2001,9,319513.0,California
2001,10,403787.0,California
2001,11,359581.0,California
2001,12,385919.0,California
2002,1,527108.0,California
2002,2,460479.0,California
2002,3,567154.0,California
2002,4,484370.0,California
2002,5,499723.0,California
2002,6,616239.0,California
2002,7,714491.0,California
2002,8,700527.0,California
2002,9,657423.0,California
2002,10,573185.0,California
2002,11,569082.0,California
2002,12,585959.0,California
2003,1,334826.0,California
2003,2,294002.0,California
2003,3,377723.0,California
2003,4,298195.0,California
2003,5,368124.0,California
2003,6,465392.0,California
2003,7,550882.0,California
2003,8,566226.0,California
2003,9,475289.0,California
2003,10,422359.0,California
2003,11,323525.0,California
2003,12,340274.0,California
2004,1,362123.99,California
2004,2,310431.36,California
2004,3,405840.57,California
2004,4,317044.4,California
2004,5,336087.56,California
2004,6,415288.66,California
2004,7,432388.69,California
2004,8,433536.76,California
2004,9,402851.49,California
2004,10,306704.0,California
2004,11,358660.7,California
2004,12,385454.93,California
2005,1,428782.11,California
2005,2,364774.52,California
2005,3,420866.1,California
2005,4,360628.69,California
2005,5,409838.71,California
2005,6,406022.31,California
2005,7,456533.49,California
2005,8,501466.1,California
2005,9,429904.26,California
2005,10,367300.77,California
2005,11,366813.23,California
2005,12,408906.26,California
2006,1,391958.23,California
2006,2,343375.48,California
2006,3,365496.71,California
2006,4,374952.17,California
2006,5,365257.81,California
2006,6,395063.12,California
2006,7,448918.12,California
2006,8,438774.55,California
2006,9,394054.33,California
2006,10,329901.5,California
2006,11,331121.41,California
2006,12,353375.3,California
2007,1,378406.0,California
2007,2,310575.0,California
2007,3,333927.0,California
2007,4,419210.0,California
2007,5,389442.0,California
2007,6,418638.0,California
2007,7,415713.0,California
2007,8,431154.0,California
2007,9,352601.0,California
2007,10,327048.0,California
2007,11,350753.0,California
2007,12,359186.0,California
2001,1,41490.0,Colorado
2001,2,47510.0,Colorado
2001,3,56944.0,Colorado
2001,4,66507.0,Colorado
2001,5,54546.0,Colorado
2001,6,21899.0,Colorado
2001,7,19209.0,Colorado
2001,8,12882.0,Colorado
2001,9,3604.0,Colorado
2001,10,9002.0,Colorado
2001,11,8383.0,Colorado
2001,12,23608.0,Colorado
2002,1,2348.0,Colorado
2002,2,6065.0,Colorado
2002,3,10051.0,Colorado
2002,4,4664.0,Colorado
2002,5,786.0,Colorado
2002,6,6461.0,Colorado
2002,7,6903.0,Colorado
2002,8,1972.0,Colorado
2002,9,2174.0,Colorado
2002,10,1508.0,Colorado
2002,11,6189.0,Colorado
2002,12,4723.0,Colorado
2003,1,4698.0,Colorado
2003,2,11498.0,Colorado
2003,3,6494.0,Colorado
2003,4,5480.0,Colorado
2003,5,9426.0,Colorado
2003,6,9224.0,Colorado
2003,7,6593.0,Colorado
2003,8,2545.0,Colorado
2003,9,3799.0,Colorado
2003,10,1457.0,Colorado
2003,11,3429.0,Colorado
2003,12,5929.0,Colorado
2004,1,3743.16,Colorado
2004,2,3404.3,Colorado
2004,3,3336.43,Colorado
2004,4,1985.88,Colorado
2004,5,3242.65,Colorado
2004,6,2221.14,Colorado
2004,7,964.81,Colorado
2004,8,2519.0,Colorado
2004,9,1045.41,Colorado
2004,10,4126.33,Colorado
2004,11,1068.22,Colorado
2004,12,4554.91,Colorado
2005,1,2780.48,Colorado
2005,2,2444.37,Colorado
2005,3,2093.03,Colorado
2005,4,2467.69,Colorado
2005,5,3723.41,Colorado
2005,6,2751.58,Colorado
2005,7,5119.69,Colorado
2005,8,3599.63,Colorado
2005,9,3825.68,Colorado
2005,10,1857.02,Colorado
2005,11,7861.32,Colorado
2005,12,5233.53,Colorado
2006,1,4819.52,Colorado
2006,2,10710.64,Colorado
2006,3,3431.17,Colorado
2006,4,5222.12,Colorado
2006,5,5044.56,Colorado
2006,6,6376.5,Colorado
2006,7,9055.26,Colorado
2006,8,8969.45,Colorado
2006,9,4710.74,Colorado
2006,10,3969.13,Colorado
2006,11,5123.34,Colorado
2006,12,4783.25,Colorado
2007,1,3774.0,Colorado
2007,2,2183.0,Colorado
2007,3,1310.0,Colorado
2007,4,11489.0,Colorado
2007,5,23982.0,Colorado
2007,6,4150.0,Colorado
2007,7,2722.0,Colorado
2007,8,4063.0,Colorado
2007,9,3117.0,Colorado
2007,10,2731.0,Colorado
2007,11,2090.0,Colorado
2007,12,3352.0,Colorado
2001,1,1515098.0,Connecticut
2001,2,821193.0,Connecticut
2001,3,1318521.0,Connecticut
2001,4,474902.0,Connecticut
2001,5,634310.0,Connecticut
2001,6,737438.0,Connecticut
2001,7,505341.0,Connecticut
2001,8,1041124.0,Connecticut
2001,9,229360.0,Connecticut
2001,10,317581.0,Connecticut
2001,11,242030.0,Connecticut
2001,12,621691.0,Connecticut
2002,1,455570.0,Connecticut
2002,2,315489.0,Connecticut
2002,3,504349.0,Connecticut
2002,4,218343.0,Connecticut
2002,5,197440.0,Connecticut
2002,6,155840.0,Connecticut
2002,7,458162.0,Connecticut
2002,8,589647.0,Connecticut
2002,9,389290.0,Connecticut
2002,10,332054.0,Connecticut
2002,11,156385.0,Connecticut
2002,12,99525.0,Connecticut
2003,1,650934.0,Connecticut
2003,2,576493.0,Connecticut
2003,3,410997.0,Connecticut
2003,4,91616.0,Connecticut
2003,5,37281.0,Connecticut
2003,6,198561.0,Connecticut
2003,7,419263.0,Connecticut
2003,8,425956.0,Connecticut
2003,9,66916.0,Connecticut
2003,10,101251.0,Connecticut
