line,MSN,StateCode,Year,Data,Description,Unit,Consume,price,expend,factor,produce,consumet,,
386576,FNICB,GA,2000,9910.28741,"Petrochemical feedstocks, naphtha less than 401 degrees F, consumed by the industrial sector.",Billion Btu,1,,,,,9910.28741,,
391256,FNICP,GA,2000,1888.39318,"Petrochemical feedstocks, naphtha less than 401 degrees F, consumed by the industrial sector.",Thousand barrels,1,,,,,1888.39318,,
395936,FOICB,GA,2000,11664.82527,"Petrochemical feedstocks, other oils equal to or greater than 401 degrees F, consumed by the industrial sector.",Billion Btu,1,,,,,11664.82527,,
400616,FOICP,GA,2000,2002.54511,"Petrochemical feedstocks, other oils equal to or greater than 401 degrees F, consumed by the industrial sector.",Thousand barrels,1,,,,,2002.54511,,
405296,FSICB,GA,2000,0,"Petrochemical feedstocks, still gas, consumed by the industrial sector.",Billion Btu,1,,,,,0,,
409976,FSICP,GA,2000,0,"Petrochemical feedstocks, still gas, consumed by the industrial sector.",Thousand barrels,1,,,,,0,,
438622,GOCCB,GA,2000,7.2,Geothermal energy and hydroelectricity consumed in the commercial sector.,Billion Btu,1,,,,,7.2,,
440702,GORCB,GA,2000,299.45844,Geothermal and solar energy consumed in the residential sector.,Billion Btu,1,,,,,299.45844,,
470972,JFACB,GA,2000,73968.0375,Jet fuel consumed by the transportation sector.,Billion Btu,1,,,,,73968.0375,,
475652,JFACP,GA,2000,13045.50926,Jet fuel consumed by the transportation sector.,Thousand barrels,1,,,,,13045.50926,,
499052,JKACB,GA,2000,73968.0375,Kerosene-type jet fuel consumed by the transportation sector.,Billion Btu,1,,,,,73968.0375,,
501652,JKACP,GA,2000,13045.50926,Kerosene-type jet fuel consumed by the transportation sector.,Thousand barrels,1,,,,,13045.50926,,
509452,JNACB,GA,2000,0,Naphtha-type jet fuel consumed by the transportation sector.,Billion Btu,1,,,,,0,,
512052,JNACP,GA,2000,0,Naphtha-type jet fuel consumed by the transportation sector.,Thousand barrels,1,,,,,0,,
519852,KSCCB,GA,2000,232.45588,Kerosene consumed by the commercial sector.,Billion Btu,1,,,,,232.45588,,
524532,KSCCP,GA,2000,40.99751,Kerosene consumed by the commercial sector.,Thousand barrels,1,,,,,40.99751,,
529212,KSICB,GA,2000,231.61372,Kerosene consumed by the industrial sector.,Billion Btu,1,,,,,231.61372,,
533892,KSICP,GA,2000,40.84898,Kerosene consumed by the industrial sector.,Thousand barrels,1,,,,,40.84898,,
538572,KSRCB,GA,2000,1121.87981,Kerosene consumed by the residential sector.,Billion Btu,1,,,,,1121.87981,,
543252,KSRCP,GA,2000,197.8624,Kerosene consumed by the residential sector.,Thousand barrels,1,,,,,197.8624,,
566652,LGACB,GA,2000,423.92425,LPG consumed by the transportation sector.,Billion Btu,1,,,,,423.92425,,
571332,LGACP,GA,2000,117.52821,LPG consumed by the transportation sector.,Thousand barrels,1,,,,,117.52821,,
576012,LGCCB,GA,2000,4797.07212,LPG consumed by the commercial sector.,Billion Btu,1,,,,,4797.07212,,
580692,LGCCP,GA,2000,1329.93405,LPG consumed by the commercial sector.,Thousand barrels,1,,,,,1329.93405,,
585372,LGICB,GA,2000,12618.64422,LPG consumed by the industrial sector.,Billion Btu,1,,,,,12618.64422,,
590052,LGICP,GA,2000,3498.37655,LPG consumed by the industrial sector.,Thousand barrels,1,,,,,3498.37655,,
594622,LGISB,GA,2000,12300.64738,LPG consumed in the industrial sector excluding refinery fuel.,Billion Btu,1,,,,,12300.64738,,
596812,LGRCB,GA,2000,15025.53991,LPG consumed by the residential sector.,Billion Btu,1,,,,,15025.53991,,
