Year,Month,State,Consumption
2007,6,AR,25742.0
2007,7,AR,11317.0
2007,8,AR,7539.0
2007,9,AR,1557.0
2007,10,AR,1525.0
2007,11,AR,11128.0
2007,12,AR,6701.0
2001,1,AZ,268016.0
2001,2,AZ,131222.0
2001,3,AZ,107962.0
2001,4,AZ,41125.0
2001,5,AZ,51063.0
2001,6,AZ,17909.0
2001,7,AZ,10931.0
2001,8,AZ,10977.0
2001,9,AZ,5991.0
2001,10,AZ,4377.0
2001,11,AZ,6329.0
2001,12,AZ,9389.0
2002,1,AZ,11164.0
2002,2,AZ,9785.0
2002,3,AZ,10871.0
2002,4,AZ,11545.0
2002,5,AZ,8974.0
2002,6,AZ,9137.0
2002,7,AZ,6193.0
2002,8,AZ,12619.0
2002,9,AZ,6560.0
2002,10,AZ,12955.0
2002,11,AZ,3784.0
2002,12,AZ,5771.0
2003,1,AZ,3484.0
2003,2,AZ,6607.0
2003,3,AZ,12390.0
2003,4,AZ,6093.0
2003,5,AZ,14497.0
2003,6,AZ,7145.0
2003,7,AZ,6200.0
2003,8,AZ,10455.0
2003,9,AZ,7456.0
2003,10,AZ,8702.0
2003,11,AZ,5852.0
2003,12,AZ,9455.0
2004,1,AZ,12861.21
2004,2,AZ,3043.72
2004,3,AZ,9814.96
2004,4,AZ,2940.73
2004,5,AZ,5753.16
2004,6,AZ,4902.11
2004,7,AZ,8305.8
2004,8,AZ,8596.74
2004,9,AZ,5602.03
2004,10,AZ,5703.79
2004,11,AZ,14422.77
2004,12,AZ,9946.09
2005,1,AZ,7412.54
2005,2,AZ,11316.82
2005,3,AZ,14351.39
2005,4,AZ,8645.84
2005,5,AZ,6500.07
2005,6,AZ,6302.48
2005,7,AZ,2835.68
2005,8,AZ,3774.83
2005,9,AZ,5654.38
2005,10,AZ,4134.67
2005,11,AZ,5193.01
2005,12,AZ,5140.06
2006,1,AZ,2311.06
2006,2,AZ,6454.66
2006,3,AZ,8459.16
2006,4,AZ,20106.65
2006,5,AZ,3902.94
2006,6,AZ,38440.26
2006,7,AZ,14305.89
2006,8,AZ,9992.54
2006,9,AZ,6573.51
2006,10,AZ,8690.82
2006,11,AZ,6871.84
2006,12,AZ,8159.98
2007,1,AZ,11650.0
2007,2,AZ,10739.0
2007,3,AZ,4556.0
2007,4,AZ,7063.0
2007,5,AZ,7417.0
2007,6,AZ,2592.0
2007,7,AZ,4534.0
2007,8,AZ,7534.0
2007,9,AZ,8995.0
2007,10,AZ,7913.0
2007,11,AZ,5822.0
2007,12,AZ,10495.0
2001,1,CA,960824.0
2001,2,CA,746165.0
2001,3,CA,598567.0
2001,4,CA,515397.0
2001,5,CA,546829.0
2001,6,CA,434632.0
2001,7,CA,452381.0
2001,8,CA,362710.0
2001,9,CA,319513.0
2001,10,CA,403787.0
2001,11,CA,359581.0
