Year,Month,State,TAVG,Population,Consumption
2003,9,Arizona,76.072,5510364,54195859.0
2003,10,Arizona,68.648,5510364,52150480.0
2003,11,Arizona,50.26,5510364,41867937.0
2003,12,Arizona,44.52,5510364,41230504.0
2004,1,Arizona,45.908,5652404,47173440.0
2004,2,Arizona,43.416000000000004,5652404,45114108.0
2004,3,Arizona,59.04,5652404,47408029.0
2004,4,Arizona,60.076,5652404,47576672.0
2004,5,Arizona,70.304,5652404,53171692.0
2004,6,Arizona,77.024,5652404,59251492.0
2004,7,Arizona,81.092,5652404,66898101.0
2004,8,Arizona,79.35600000000001,5652404,64345650.0
2004,9,Arizona,73.26,5652404,56559948.0
2004,10,Arizona,62.18,5652404,49612862.0
2004,11,Arizona,49.28,5652404,44745053.0
2004,12,Arizona,44.188,5652404,48738444.0
2005,1,Arizona,46.364,5839077,45007947.0
2005,2,Arizona,48.268,5839077,35978859.0
2005,3,Arizona,51.732,5839077,35992929.0
2005,4,Arizona,59.4,5839077,44597437.0
2005,5,Arizona,69.444,5839077,50173551.0
2005,6,Arizona,76.152,5839077,52426352.0
2005,7,Arizona,83.944,5839077,68310458.0
2005,8,Arizona,78.7,5839077,66318763.0
2005,9,Arizona,74.91199999999999,5839077,56269737.0
2005,10,Arizona,65.02,5839077,54704560.0
2005,11,Arizona,54.172,5839077,48641719.0
2005,12,Arizona,46.452,5839077,53265407.0
2006,1,Arizona,45.8,6029141,47565915.0
2006,2,Arizona,49.61600000000001,6029141,41820706.0
2006,3,Arizona,50.604,6029141,44917026.0
2006,4,Arizona,61.06399999999999,6029141,44165174.0
2006,5,Arizona,71.2,6029141,49592563.0
2006,6,Arizona,81.304,6029141,59812540.0
2006,7,Arizona,83.208,6029141,67073971.0
2006,8,Arizona,78.812,6029141,69990935.0
2006,9,Arizona,72.52,6029141,61958285.0
2006,10,Arizona,62.56399999999999,6029141,60107396.0
2006,11,Arizona,54.583999999999996,6029141,50440590.0
2006,12,Arizona,43.94,6029141,49764554.0
2007,1,Arizona,40.196,6167681,52456214.0
2007,2,Arizona,48.92,6167681,43918353.0
2007,3,Arizona,57.3,6167681,42795072.0
2007,4,Arizona,62.144,6167681,46202510.0
2007,5,Arizona,70.128,6167681,58455143.0
2007,6,Arizona,79.07600000000001,6167681,67077789.0
2007,7,Arizona,83.584,6167681,75133779.0
2007,8,Arizona,81.944,6167681,74540001.0
2007,9,Arizona,74.796,6167681,62336100.0
2007,10,Arizona,64.36,6167681,56043657.0
2007,11,Arizona,56.8,6167681,54690313.0
2007,12,Arizona,42.628,6167681,59030089.0
2001,1,Arkansas,36.656,2691571,27964057.0
2001,2,Arkansas,45.016000000000005,2691571,20091626.0
2001,3,Arkansas,47.888000000000005,2691571,18645156.0
2001,4,Arkansas,65.236,2691571,21743143.0
2001,5,Arkansas,69.984,2691571,25022991.0
2001,6,Arkansas,75.656,2691571,29531962.0
2001,7,Arkansas,82.03200000000001,2691571,33097839.0
2001,8,Arkansas,81.212,2691571,32765037.0
2001,9,Arkansas,71.372,2691571,30837430.0
2001,10,Arkansas,59.744,2691571,27733850.0
2001,11,Arkansas,54.784,2691571,24162618.0
2001,12,Arkansas,44.912,2691571,32204882.0
2002,1,Arkansas,41.903999999999996,2705927,28338024.0
2002,2,Arkansas,41.636,2705927,23179573.0
2002,3,Arkansas,47.04,2705927,14669689.0
2002,4,Arkansas,63.172,2705927,27328938.0
2002,5,Arkansas,66.592,2705927,21118658.0
2002,6,Arkansas,76.444,2705927,26561991.0
2002,7,Arkansas,80.764,2705927,31964149.0
2002,8,Arkansas,79.736,2705927,33988925.0
2002,9,Arkansas,75.024,2705927,31601632.0
2002,10,Arkansas,60.6,2705927,27701454.0
2002,11,Arkansas,48.1,2705927,26073579.0
2002,12,Arkansas,42.456,2705927,23506966.0
2003,1,Arkansas,35.736,2724816,23262654.0
2003,2,Arkansas,39.12,2724816,21914097.0
2003,3,Arkansas,50.576,2724816,18910414.0
2003,4,Arkansas,61.592,2724816,18054776.0
2003,5,Arkansas,69.908,2724816,23578417.0
2003,6,Arkansas,73.13600000000001,2724816,32912042.0
2003,7,Arkansas,80.196,2724816,36251693.0
2003,8,Arkansas,81.108,2724816,35153813.0
2003,9,Arkansas,70.416,2724816,32335150.0
2003,10,Arkansas,62.552,2724816,27529311.0
2003,11,Arkansas,54.023999999999994,2724816,29799632.0
2003,12,Arkansas,41.751999999999995,2724816,29367791.0
2004,1,Arkansas,40.032,2749686,29831429.0
2004,2,Arkansas,39.98,2749686,25241163.0
2004,3,Arkansas,55.336000000000006,2749686,21513841.0
2004,4,Arkansas,60.20399999999999,2749686,18898621.0
2004,5,Arkansas,70.944,2749686,25260667.0
2004,6,Arkansas,75.72800000000001,2749686,32271502.0
2004,7,Arkansas,77.984,2749686,34575847.0
2004,8,Arkansas,75.476,2749686,32677737.0
2004,9,Arkansas,73.06,2749686,29879368.0
2004,10,Arkansas,65.632,2749686,24868180.0
2004,11,Arkansas,54.088,2749686,25629538.0
2004,12,Arkansas,40.856,2749686,29690661.0
2005,1,Arkansas,43.908,2781097,28865844.0
2005,2,Arkansas,46.452,2781097,25329717.0
2005,3,Arkansas,49.604,2781097,20691991.0
2005,4,Arkansas,60.736000000000004,2781097,19038627.0
2005,5,Arkansas,67.012,2781097,25638412.0
2005,6,Arkansas,77.26,2781097,30116233.0
2005,7,Arkansas,79.992,2781097,31123520.0
2005,8,Arkansas,82.056,2781097,32054168.0
2005,9,Arkansas,76.69200000000002,2781097,26702566.0
2005,10,Arkansas,61.86,2781097,26389287.0
2005,11,Arkansas,53.996,2781097,22645811.0
2005,12,Arkansas,39.08,2781097,23981625.0
2006,1,Arkansas,46.768,2821761,23252327.0
2006,2,Arkansas,39.756,2821761,23615217.0
2006,3,Arkansas,52.70399999999999,2821761,22105974.0
2006,4,Arkansas,66.096,2821761,24779521.0
2006,5,Arkansas,69.7,2821761,27744168.0
2006,6,Arkansas,75.85600000000001,2821761,37413349.0
2006,7,Arkansas,80.884,2821761,39938384.0
2006,8,Arkansas,82.09200000000001,2821761,39766902.0
2006,9,Arkansas,69.3,2821761,33089252.0
2006,10,Arkansas,60.092,2821761,28773915.0
2006,11,Arkansas,50.976000000000006,2821761,19534589.0
2006,12,Arkansas,44.232,2821761,27353082.0
2007,1,Arkansas,39.02,2848650,30877491.0
2007,2,Arkansas,39.596,2848650,26573180.0
2007,3,Arkansas,58.711999999999996,2848650,23360759.0
2007,4,Arkansas,57.16,2848650,23261141.0
2007,5,Arkansas,71.02,2848650,30335186.0
2007,6,Arkansas,76.85600000000001,2848650,32584722.0
2007,7,Arkansas,77.56400000000002,2848650,36615674.0
2007,8,Arkansas,83.896,2848650,44558546.0
2007,9,Arkansas,74.232,2848650,33922214.0
2007,10,Arkansas,63.864,2848650,22633960.0
2007,11,Arkansas,52.316,2848650,22931444.0
2007,12,Arkansas,43.428000000000004,2848650,31768372.0
2001,1,California,44.316,34479458,105623922.0
2001,2,California,44.66,34479458,91914075.0
2001,3,California,54.208,34479458,96029994.0
2001,4,California,53.256,34479458,93356039.0
2001,5,California,67.964,34479458,96389940.0
2001,6,California,71.788,34479458,95932126.0
2001,7,California,73.876,34479458,105803599.0
2001,8,California,75.688,34479458,113067548.0
2001,9,California,70.956,34479458,95276654.0
2001,10,California,64.296,34479458,86647981.0
2001,11,California,51.668,34479458,69065291.0
2001,12,California,43.263999999999996,34479458,73693341.0
2002,1,California,43.763999999999996,34871843,65273873.0
2002,2,California,48.948,34871843,56719680.0
2002,3,California,48.924,34871843,75575521.0
2002,4,California,56.476000000000006,34871843,54462118.0
2002,5,California,61.424,34871843,55397096.0
2002,6,California,71.86,34871843,77684610.0
2002,7,California,76.704,34871843,105139447.0
2002,8,California,73.76,34871843,94735389.0
2002,9,California,70.82000000000002,34871843,88108805.0
2002,10,California,59.2,34871843,69317627.0
2002,11,California,51.983999999999995,34871843,62746492.0
2002,12,California,44.79600000000001,34871843,69624141.0
2003,1,California,49.924,35253159,63433434.0
2003,2,California,47.5,35253159,61098739.0
2003,3,California,53.476000000000006,35253159,62271718.0
2003,4,California,52.5,35253159,51136494.0
2003,5,California,63.3,35253159,50751358.0
2003,6,California,71.268,35253159,59430554.0
2003,7,California,78.72800000000001,35253159,100373508.0
2003,8,California,75.152,35253159,95108215.0
2003,9,California,72.22399999999999,35253159,86697345.0
2003,10,California,65.592,35253159,80155324.0
2003,11,California,48.431999999999995,35253159,61667689.0
2003,12,California,45.028,35253159,62276629.0
2004,1,California,44.196000000000005,35574576,59542006.0
2004,2,California,44.216,35574576,60466003.0
2004,3,California,57.108,35574576,67562204.0
2004,4,California,60.0,35574576,62363823.0
2004,5,California,65.22399999999999,35574576,63019252.0
2004,6,California,71.08800000000001,35574576,63727260.0
2004,7,California,75.756,35574576,93139324.0
2004,8,California,74.012,35574576,90174114.0
2004,9,California,69.068,35574576,85104568.0
2004,10,California,59.431999999999995,35574576,71903577.0
2004,11,California,47.023999999999994,35574576,70202107.0
2004,12,California,45.14,35574576,70228872.0
2005,1,California,44.956,35827943,59760526.0
2005,2,California,47.43600000000001,35827943,51654643.0
2005,3,California,52.224,35827943,54734298.0
2005,4,California,54.556000000000004,35827943,50123068.0
2005,5,California,62.536,35827943,53763263.0
2005,6,California,67.72800000000001,35827943,56687134.0
2005,7,California,77.124,35827943,95918234.0
2005,8,California,75.568,35827943,96848228.0
2005,9,California,65.54,35827943,69272497.0
2005,10,California,58.964,35827943,61167332.0
2005,11,California,53.356,35827943,62581749.0
2005,12,California,46.372,35827943,66662850.0
2006,1,California,44.044,36021202,56557390.0
2006,2,California,48.324,36021202,53761800.0
2006,3,California,41.62,36021202,59675934.0
2006,4,California,52.196000000000005,36021202,50628401.0
2006,5,California,63.343999999999994,36021202,61398502.0
2006,6,California,71.80799999999998,36021202,75530899.0
2006,7,California,79.44,36021202,117428545.0
2006,8,California,71.57600000000001,36021202,91880796.0
2006,9,California,68.58,36021202,83871290.0
2006,10,California,60.032,36021202,74657634.0
2006,11,California,52.328,36021202,68665540.0
2006,12,California,45.163999999999994,36021202,73372631.0
2007,1,California,40.496,36250311,67363699.0
2007,2,California,46.288000000000004,36250311,60370116.0
2007,3,California,52.8,36250311,56962674.0
2007,4,California,54.872,36250311,58711681.0
2007,5,California,62.104,36250311,63975870.0
2007,6,California,68.992,36250311,78286427.0
2007,7,California,74.72399999999999,36250311,105543091.0
2007,8,California,73.456,36250311,117231766.0
2007,9,California,66.612,36250311,88951624.0
2007,10,California,59.144,36250311,84817939.0
2007,11,California,52.7,36250311,79295590.0
2007,12,California,42.508,36250311,86560575.0
2001,1,Colorado,25.131999999999998,4425687,39650806.0
2001,2,Colorado,27.651999999999997,4425687,36435008.0
2001,3,Colorado,36.864000000000004,4425687,38387469.0
2001,4,Colorado,46.62,4425687,36065395.0
2001,5,Colorado,54.8,4425687,39958860.0
2001,6,Colorado,64.664,4425687,39071905.0
2001,7,Colorado,71.164,4425687,41867219.0
2001,8,Colorado,67.584,4425687,41721425.0
2001,9,Colorado,60.964,4425687,35879697.0
2001,10,Colorado,48.928000000000004,4425687,35517361.0
2001,11,Colorado,38.544000000000004,4425687,36327351.0
2001,12,Colorado,28.04,4425687,39226211.0
2002,1,Colorado,26.016,4490406,39243832.0
2002,2,Colorado,28.808000000000003,4490406,32500759.0
2002,3,Colorado,32.764,4490406,33406448.0
2002,4,Colorado,47.576,4490406,34275912.0
2002,5,Colorado,53.46,4490406,36999611.0
2002,6,Colorado,68.396,4490406,38385293.0
2002,7,Colorado,71.788,4490406,42278563.0
2002,8,Colorado,68.352,4490406,39553869.0
2002,9,Colorado,59.712,4490406,35283718.0
2002,10,Colorado,43.943999999999996,4490406,38148724.0
2002,11,Colorado,35.172,4490406,36103940.0
2002,12,Colorado,28.772,4490406,38598327.0
2003,1,Colorado,33.364000000000004,4528732,38235709.0
2003,2,Colorado,27.328000000000003,4528732,34271926.0
2003,3,Colorado,37.968,4528732,35351120.0
2003,4,Colorado,46.736000000000004,4528732,33194378.0
2003,5,Colorado,55.492,4528732,35629191.0
2003,6,Colorado,60.916000000000004,4528732,35339049.0
2003,7,Colorado,73.68,4528732,43579771.0
2003,8,Colorado,70.408,4528732,43724607.0
2003,9,Colorado,57.496,4528732,35328369.0
2003,10,Colorado,52.61600000000001,4528732,36073703.0
2003,11,Colorado,34.06,4528732,36955153.0
2003,12,Colorado,29.816,4528732,39520444.0
2004,1,Colorado,25.671999999999997,4575013,39060391.0
2004,2,Colorado,26.964000000000002,4575013,36243990.0
2004,3,Colorado,42.611999999999995,4575013,35255835.0
2004,4,Colorado,46.048,4575013,32532250.0
2004,5,Colorado,54.82,4575013,36240739.0
2004,6,Colorado,61.632,4575013,36090116.0
2004,7,Colorado,66.712,4575013,41176996.0
2004,8,Colorado,64.708,4575013,40533034.0
2004,9,Colorado,59.428000000000004,4575013,35707348.0
2004,10,Colorado,48.64,4575013,35534773.0
2004,11,Colorado,34.88,4575013,36593385.0
2004,12,Colorado,29.22,4575013,40441997.0
2005,1,Colorado,30.651999999999997,4631888,39365196.0
2005,2,Colorado,32.004,4631888,35083858.0
2005,3,Colorado,36.084,4631888,37874656.0
2005,4,Colorado,44.276,4631888,33964954.0
2005,5,Colorado,53.836000000000006,4631888,36969602.0
2005,6,Colorado,62.04,4631888,36698315.0
2005,7,Colorado,71.184,4631888,42202403.0
2005,8,Colorado,65.63600000000001,4631888,41539787.0
2005,9,Colorado,60.38,4631888,36486366.0
2005,10,Colorado,48.756,4631888,32653739.0
2005,11,Colorado,38.108,4631888,35723720.0
2005,12,Colorado,25.316,4631888,41163905.0
2006,1,Colorado,29.74,4720423,38624233.0
2006,2,Colorado,27.144000000000002,4720423,33165014.0
2006,3,Colorado,34.82,4720423,38049065.0
2006,4,Colorado,47.236000000000004,4720423,34370570.0
2006,5,Colorado,56.008,4720423,37716159.0
2006,6,Colorado,65.648,4720423,40690268.0
2006,7,Colorado,69.868,4720423,43655350.0
2006,8,Colorado,66.404,4720423,41962251.0
2006,9,Colorado,54.43600000000001,4720423,36402612.0
2006,10,Colorado,45.812,4720423,37528317.0
2006,11,Colorado,36.472,4720423,39079975.0
2006,12,Colorado,26.896,4720423,41985413.0
2007,1,Colorado,17.752,4803868,43451932.0
2007,2,Colorado,27.628,4803868,38123344.0
2007,3,Colorado,40.251999999999995,4803868,37209875.0
2007,4,Colorado,43.428000000000004,4803868,36643929.0
2007,5,Colorado,54.28,4803868,39510178.0
2007,6,Colorado,63.516000000000005,4803868,42297350.0
2007,7,Colorado,70.484,4803868,46201476.0
2007,8,Colorado,69.404,4803868,44938070.0
2007,9,Colorado,59.968,4803868,39874767.0
2007,10,Colorado,48.152,4803868,40495248.0
2007,11,Colorado,38.236,4803868,40065651.0
2007,12,Colorado,20.9,4803868,43643090.0
2001,1,Connecticut,26.1625,3432835,12166846.0
2001,2,Connecticut,29.6875,3432835,8907531.0
2001,3,Connecticut,34.74375,3432835,12938426.0
2001,4,Connecticut,48.59411764705882,3432835,5707225.0
2001,5,Connecticut,59.38666666666667,3432835,7243948.0
2001,6,Connecticut,68.88235294117648,3432835,8822731.0
2001,7,Connecticut,68.94117647058823,3432835,8208992.0
2001,8,Connecticut,73.85333333333334,3432835,13062898.0
2001,9,Connecticut,63.30625,3432835,9845422.0
2001,10,Connecticut,53.40714285714286,3432835,8230635.0
2001,11,Connecticut,46.27333333333333,3432835,6254136.0
2001,12,Connecticut,38.10625,3432835,10284326.0
2002,1,Connecticut,33.875,3458749,10142836.0
2002,2,Connecticut,34.81764705882353,3458749,8659801.0
2002,3,Connecticut,39.33529411764706,3458749,10180222.0
2002,4,Connecticut,50.96470588235295,3458749,7950165.0
2002,5,Connecticut,55.98823529411765,3458749,9276825.0
2002,6,Connecticut,66.62666666666667,3458749,9346676.0
2002,7,Connecticut,73.67333333333333,3458749,14258049.0
2002,8,Connecticut,72.85,3458749,14098507.0
2002,9,Connecticut,65.5375,3458749,10957066.0
2002,10,Connecticut,50.35555555555555,3458749,8004980.0
2002,11,Connecticut,40.54666666666667,3458749,8020673.0
2002,12,Connecticut,30.605882352941176,3458749,8579829.0
2003,1,Connecticut,22.6,3484336,9923826.0
2003,2,Connecticut,24.216666666666665,3484336,8799974.0
2003,3,Connecticut,36.475,3484336,9862582.0
2003,4,Connecticut,45.35555555555555,3484336,7399473.0
2003,5,Connecticut,55.635294117647064,3484336,6913953.0
2003,6,Connecticut,65.32105263157895,3484336,7662877.0
2003,7,Connecticut,71.82105263157895,3484336,9622515.0
2003,8,Connecticut,72.995,3484336,10734628.0
2003,9,Connecticut,64.06842105263158,3484336,8120903.0
2003,10,Connecticut,49.726315789473674,3484336,8190196.0
2003,11,Connecticut,44.505,3484336,7436130.0
2003,12,Connecticut,32.905,3484336,9913490.0
2004,1,Connecticut,19.094736842105263,3496094,12706465.0
2004,2,Connecticut,28.96,3496094,7888821.0
2004,3,Connecticut,38.36315789473685,3496094,8383847.0
2004,4,Connecticut,48.631578947368425,3496094,7912184.0
2004,5,Connecticut,60.345,3496094,9732694.0
2004,6,Connecticut,65.595,3496094,10391476.0
2004,7,Connecticut,70.6125,3496094,11545627.0
2004,8,Connecticut,70.23529411764707,3496094,12480172.0
2004,9,Connecticut,64.30526315789474,3496094,9990892.0
2004,10,Connecticut,51.342105263157904,3496094,7080123.0
2004,11,Connecticut,42.357894736842105,3496094,7820928.0
2004,12,Connecticut,31.394736842105264,3496094,9088421.0
2005,1,Connecticut,24.41578947368421,3506956,12433943.0
2005,2,Connecticut,30.094444444444445,3506956,9056087.0
2005,3,Connecticut,32.105555555555554,3506956,10521726.0
2005,4,Connecticut,49.45555555555556,3506956,10996470.0
2005,5,Connecticut,53.35555555555555,3506956,10535670.0
2005,6,Connecticut,69.8578947368421,3506956,11656182.0
2005,7,Connecticut,72.66111111111111,3506956,14229966.0
2005,8,Connecticut,73.48333333333333,3506956,14967464.0
2005,9,Connecticut,66.18947368421053,3506956,9913710.0
2005,10,Connecticut,52.93,3506956,11065713.0
